"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221110_M2.1","A01","blank",1,"blank_1-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.2","A02","neg",1,"neg_1-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.3","A03","pos",1,"pos_1-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.4","A04","2P.-1",1,"2P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.5","A05","2P.-2",1,"2P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.6","A06","2P.-3",1,"2P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.7","A07","4P.-1",1,"4P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.8","A08","4P.-2",1,"4P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.9","A09","4P.-3",1,"4P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.10","A10","5P.-1",1,"5P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.11","A11","5P.-2",1,"5P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.12","A12","5P.-3",1,"5P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.13","B01","blank",2,"blank_2-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.14","B02","neg",2,"neg_2-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.15","B03","pos",2,"pos_2-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.16","B04","2P.-1",2,"2P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.17","B05","2P.-2",2,"2P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.18","B06","2P.-3",2,"2P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.19","B07","4P.-1",2,"4P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.20","B08","4P.-2",2,"4P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.21","B09","4P.-3",2,"4P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.22","B10","5P.-1",2,"5P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.23","B11","5P.-2",2,"5P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.24","B12","5P.-3",2,"5P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.25","C01","blank",3,"blank_3-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.26","C02","neg",3,"neg_3-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.27","C03","pos",3,"pos_3-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.28","C04","2P.-1",3,"2P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.29","C05","2P.-2",3,"2P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.30","C06","2P.-3",3,"2P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.31","C07","4P.-1",3,"4P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.32","C08","4P.-2",3,"4P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.33","C09","4P.-3",3,"4P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.34","C10","5P.-1",3,"5P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.35","C11","5P.-2",3,"5P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.36","C12","5P.-3",3,"5P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.37","D01","blank",4,"blank_4-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.38","D02","neg",4,"neg_4-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.39","D03","pos",4,"pos_4-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.40","D04","2P.-1",4,"2P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.41","D05","2P.-2",4,"2P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.42","D06","2P.-3",4,"2P.-3_4",96,"20221110_M2","M2","P","0"
"20221110_M2.43","D07","4P.-1",4,"4P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.44","D08","4P.-2",4,"4P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.45","D09","4P.-3",4,"4P.-3_4",96,"20221110_M2","M2","P","0"
"20221110_M2.46","D10","5P.-1",4,"5P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.47","D11","5P.-2",4,"5P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.48","D12","5P.-3",4,"5P.-3_4",96,"20221110_M2","M2","P","0"
"20221110_M2.49","E01","blank",5,"blank_5-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.50","E02","neg",5,"neg_5-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.51","E03","pos",5,"pos_5-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.52","E04","6P.-1",1,"6P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.53","E05","6P.-2",1,"6P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.54","E06","6P.-3",1,"6P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.55","E07","8P.-1",1,"8P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.56","E08","8P.-2",1,"8P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.57","E09","8P.-3",1,"8P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.58","E10","9P.-1",1,"9P.-1_1",96,"20221110_M2","M2","P","0"
"20221110_M2.59","E11","9P.-2",1,"9P.-2_1",96,"20221110_M2","M2","P","0"
"20221110_M2.60","E12","9P.-3",1,"9P.-3_1",96,"20221110_M2","M2","P","0"
"20221110_M2.61","F01","blank",6,"blank_6-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.62","F02","neg",6,"neg_6-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.63","F03","pos",6,"pos_6-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.64","F04","6P.-1",2,"6P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.65","F05","6P.-2",2,"6P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.66","F06","6P.-3",2,"6P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.67","F07","8P.-1",2,"8P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.68","F08","8P.-2",2,"8P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.69","F09","8P.-3",2,"8P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.70","F10","9P.-1",2,"9P.-1_2",96,"20221110_M2","M2","P","0"
"20221110_M2.71","F11","9P.-2",2,"9P.-2_2",96,"20221110_M2","M2","P","0"
"20221110_M2.72","F12","9P.-3",2,"9P.-3_2",96,"20221110_M2","M2","P","0"
"20221110_M2.73","G01","blank",7,"blank_7-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.74","G02","neg",7,"neg_7-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.75","G03","pos",7,"pos_7-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.76","G04","6P.-1",3,"6P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.77","G05","6P.-2",3,"6P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.78","G06","6P.-3",3,"6P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.79","G07","8P.-1",3,"8P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.80","G08","8P.-2",3,"8P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.81","G09","8P.-3",3,"8P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.82","G10","9P.-1",3,"9P.-1_3",96,"20221110_M2","M2","P","0"
"20221110_M2.83","G11","9P.-2",3,"9P.-2_3",96,"20221110_M2","M2","P","0"
"20221110_M2.84","G12","9P.-3",3,"9P.-3_3",96,"20221110_M2","M2","P","0"
"20221110_M2.85","H01","blank",8,"blank_8-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.86","H02","neg",8,"neg_8-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.87","H03","pos",8,"pos_8-20221110_M2",96,"20221110_M2","M2","P","0"
"20221110_M2.88","H04","6P.-1",4,"6P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.89","H05","6P.-2",4,"6P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.90","H06","6P.-3",4,"6P.-3_4",96,"20221110_M2","M2","P","1"
"20221110_M2.91","H07","8P.-1",4,"8P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.92","H08","8P.-2",4,"8P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.93","H09","8P.-3",4,"8P.-3_4",96,"20221110_M2","M2","P","0"
"20221110_M2.94","H10","9P.-1",4,"9P.-1_4",96,"20221110_M2","M2","P","0"
"20221110_M2.95","H11","9P.-2",4,"9P.-2_4",96,"20221110_M2","M2","P","0"
"20221110_M2.96","H12","9P.-3",4,"9P.-3_4",96,"20221110_M2","M2","P","0"
"20221110_M3.1","A01","blank",1,"blank_1-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.2","A02","neg",1,"neg_1-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.3","A03","pos",1,"pos_1-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.4","A04","10P.-1",1,"10P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.5","A05","10P.-2",1,"10P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.6","A06","10P.-3",1,"10P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.7","A07","12P.-1",1,"12P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.8","A08","12P.-2",1,"12P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.9","A09","12P.-3",1,"12P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.10","A10","14P.-1",1,"14P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.11","A11","14P.-2",1,"14P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.12","A12","14P.-3",1,"14P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.13","B01","blank",2,"blank_2-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.14","B02","neg",2,"neg_2-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.15","B03","pos",2,"pos_2-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.16","B04","10P.-1",2,"10P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.17","B05","10P.-2",2,"10P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.18","B06","10P.-3",2,"10P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.19","B07","12P.-1",2,"12P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.20","B08","12P.-2",2,"12P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.21","B09","12P.-3",2,"12P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.22","B10","14P.-1",2,"14P.-1_2",96,"20221110_M3","M3","P","1"
"20221110_M3.23","B11","14P.-2",2,"14P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.24","B12","14P.-3",2,"14P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.25","C01","blank",3,"blank_3-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.26","C02","neg",3,"neg_3-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.27","C03","pos",3,"pos_3-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.28","C04","10P.-1",3,"10P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.29","C05","10P.-2",3,"10P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.30","C06","10P.-3",3,"10P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.31","C07","12P.-1",3,"12P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.32","C08","12P.-2",3,"12P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.33","C09","12P.-3",3,"12P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.34","C10","14P.-1",3,"14P.-1_3",96,"20221110_M3","M3","P","1"
"20221110_M3.35","C11","14P.-2",3,"14P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.36","C12","14P.-3",3,"14P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.37","D01","blank",4,"blank_4-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.38","D02","neg",4,"neg_4-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.39","D03","pos",4,"pos_4-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.40","D04","10P.-1",4,"10P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.41","D05","10P.-2",4,"10P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.42","D06","10P.-3",4,"10P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.43","D07","12P.-1",4,"12P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.44","D08","12P.-2",4,"12P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.45","D09","12P.-3",4,"12P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.46","D10","14P.-1",4,"14P.-1_4",96,"20221110_M3","M3","P","0"
"20221110_M3.47","D11","14P.-2",4,"14P.-2_4",96,"20221110_M3","M3","P","0"
"20221110_M3.48","D12","14P.-3",4,"14P.-3_4",96,"20221110_M3","M3","P","0"
"20221110_M3.49","E01","blank",5,"blank_5-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.50","E02","neg",5,"neg_5-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.51","E03","pos",5,"pos_5-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.52","E04","16P.-1",1,"16P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.53","E05","16P.-2",1,"16P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.54","E06","16P.-3",1,"16P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.55","E07","17P.-1",1,"17P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.56","E08","17P.-2",1,"17P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.57","E09","17P.-3",1,"17P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.58","E10","18P.-1",1,"18P.-1_1",96,"20221110_M3","M3","P","0"
"20221110_M3.59","E11","18P.-2",1,"18P.-2_1",96,"20221110_M3","M3","P","0"
"20221110_M3.60","E12","18P.-3",1,"18P.-3_1",96,"20221110_M3","M3","P","0"
"20221110_M3.61","F01","blank",6,"blank_6-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.62","F02","neg",6,"neg_6-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.63","F03","pos",6,"pos_6-20221110_M2",96,"20221110_M3","M3","P","2"
"20221110_M3.64","G01","blank",7,"blank_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.65","G02","neg",7,"neg_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.66","G03","pos",7,"pos_7-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.67","G04","16P.-1",2,"16P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.68","G05","16P.-2",2,"16P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.69","G06","16P.-3",2,"16P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.70","G07","17P.-1",2,"17P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.71","G08","17P.-2",2,"17P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.72","G09","17P.-3",2,"17P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.73","G10","18P.-1",2,"18P.-1_2",96,"20221110_M3","M3","P","0"
"20221110_M3.74","G11","18P.-2",2,"18P.-2_2",96,"20221110_M3","M3","P","0"
"20221110_M3.75","G12","18P.-3",2,"18P.-3_2",96,"20221110_M3","M3","P","0"
"20221110_M3.76","H01","blank",8,"blank_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.77","H02","neg",8,"neg_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.78","H03","pos",8,"pos_8-20221110_M2",96,"20221110_M3","M3","P","0"
"20221110_M3.79","H04","16P.-1",3,"16P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.80","H05","16P.-2",3,"16P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.81","H06","16P.-3",3,"16P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.82","H07","17P.-1",3,"17P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.83","H08","17P.-2",3,"17P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.84","H09","17P.-3",3,"17P.-3_3",96,"20221110_M3","M3","P","0"
"20221110_M3.85","H10","18P.-1",3,"18P.-1_3",96,"20221110_M3","M3","P","0"
"20221110_M3.86","H11","18P.-2",3,"18P.-2_3",96,"20221110_M3","M3","P","0"
"20221110_M3.87","H12","18P.-3",3,"18P.-3_3",96,"20221110_M3","M3","P","1"
"20221114_M2.1","A01","blank",1,"blank_1-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.2","A02","neg",1,"neg_1-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.3","A03","pos",1,"pos_1-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.4","A04","20P.-1",1,"20P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.5","A05","20P.-2",1,"20P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.6","A06","20P.-3",1,"20P.-3_1",96,"20221114_M2","M2","P","2"
"20221114_M2.7","A07","21P.-1",1,"21P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.8","A08","21P.-2",1,"21P.-2_1",96,"20221114_M2","M2","P","2"
"20221114_M2.9","A09","21P.-3",1,"21P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.10","A10","22P.-1",1,"22P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.11","A11","22P.-2",1,"22P.-2_1",96,"20221114_M2","M2","P","1"
"20221114_M2.12","A12","22P.-3",1,"22P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.13","B01","blank",2,"blank_2-20221110_M2",96,"20221114_M2","M2","P","1"
"20221114_M2.14","B02","neg",2,"neg_2-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.15","B03","pos",2,"pos_2-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.16","B04","20P.-1",2,"20P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.17","B05","20P.-2",2,"20P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.18","B06","20P.-3",2,"20P.-3_2",96,"20221114_M2","M2","P","2"
"20221114_M2.19","B07","21P.-1",2,"21P.-1_2",96,"20221114_M2","M2","P","2"
"20221114_M2.20","B08","21P.-2",2,"21P.-2_2",96,"20221114_M2","M2","P","2"
"20221114_M2.21","B09","21P.-3",2,"21P.-3_2",96,"20221114_M2","M2","P","1"
"20221114_M2.22","B10","22P.-1",2,"22P.-1_2",96,"20221114_M2","M2","P","2"
"20221114_M2.23","B11","22P.-2",2,"22P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.24","B12","22P.-3",2,"22P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.25","C01","blank",3,"blank_3-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.26","C02","neg",3,"neg_3-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.27","C03","pos",3,"pos_3-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.28","C04","20P.-1",3,"20P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.29","C05","20P.-2",3,"20P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.30","C06","20P.-3",3,"20P.-3_3",96,"20221114_M2","M2","P","2"
"20221114_M2.31","C07","21P.-1",3,"21P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.32","C08","21P.-2",3,"21P.-2_3",96,"20221114_M2","M2","P","2"
"20221114_M2.33","C09","21P.-3",3,"21P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.34","C10","22P.-1",3,"22P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.35","C11","22P.-2",3,"22P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.36","C12","22P.-3",3,"22P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.37","D01","blank",4,"blank_4-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.38","D02","neg",4,"neg_4-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.39","D03","pos",4,"pos_4-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.40","D04","20P.-1",4,"20P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.41","D05","20P.-2",4,"20P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.42","D06","20P.-3",4,"20P.-3_4",96,"20221114_M2","M2","P","2"
