"","well","content","replicate","content_replicate","format","plate_ID","instrument","phase","final"
"20221114_M2.43","D07","21P.-1",4,"21P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.44","D08","21P.-2",4,"21P.-2_4",96,"20221114_M2","M2","P","2"
"20221114_M2.45","D09","21P.-3",4,"21P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.46","D10","22P.-1",4,"22P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.47","D11","22P.-2",4,"22P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.48","D12","22P.-3",4,"22P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.49","E01","blank",5,"blank_5-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.50","E02","neg",5,"neg_5-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.51","E03","pos",5,"pos_5-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.52","E04","24P.-1",1,"24P.-1_1",96,"20221114_M2","M2","P","2"
"20221114_M2.53","E05","24P.-2",1,"24P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.54","E06","24P.-3",1,"24P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.55","E07","26P.-1",1,"26P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.56","E08","26P.-2",1,"26P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.57","E09","26P.-3",1,"26P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.58","E10","28P.-1",1,"28P.-1_1",96,"20221114_M2","M2","P","0"
"20221114_M2.59","E11","28P.-2",1,"28P.-2_1",96,"20221114_M2","M2","P","0"
"20221114_M2.60","E12","28P.-3",1,"28P.-3_1",96,"20221114_M2","M2","P","0"
"20221114_M2.61","F01","blank",6,"blank_6-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.62","F02","neg",6,"neg_6-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.63","F03","pos",6,"pos_6-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.64","F04","24P.-1",2,"24P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.65","F05","24P.-2",2,"24P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.66","F06","24P.-3",2,"24P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.67","F07","26P.-1",2,"26P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.68","F08","26P.-2",2,"26P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.69","F09","26P.-3",2,"26P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.70","F10","28P.-1",2,"28P.-1_2",96,"20221114_M2","M2","P","0"
"20221114_M2.71","F11","28P.-2",2,"28P.-2_2",96,"20221114_M2","M2","P","0"
"20221114_M2.72","F12","28P.-3",2,"28P.-3_2",96,"20221114_M2","M2","P","0"
"20221114_M2.73","G01","blank",7,"blank_7-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.74","G02","neg",7,"neg_7-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.75","G03","pos",7,"pos_7-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.76","G04","24P.-1",3,"24P.-1_3",96,"20221114_M2","M2","P","2"
"20221114_M2.77","G05","24P.-2",3,"24P.-2_3",96,"20221114_M2","M2","P","1"
"20221114_M2.78","G06","24P.-3",3,"24P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.79","G07","26P.-1",3,"26P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.80","G08","26P.-2",3,"26P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.81","G09","26P.-3",3,"26P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.82","G10","28P.-1",3,"28P.-1_3",96,"20221114_M2","M2","P","0"
"20221114_M2.83","G11","28P.-2",3,"28P.-2_3",96,"20221114_M2","M2","P","0"
"20221114_M2.84","G12","28P.-3",3,"28P.-3_3",96,"20221114_M2","M2","P","0"
"20221114_M2.85","H01","blank",8,"blank_8-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.86","H02","neg",8,"neg_8-20221110_M2",96,"20221114_M2","M2","P","0"
"20221114_M2.87","H03","pos",8,"pos_8-20221110_M2",96,"20221114_M2","M2","P","2"
"20221114_M2.88","H04","24P.-1",4,"24P.-1_4",96,"20221114_M2","M2","P","2"
"20221114_M2.89","H05","24P.-2",4,"24P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.90","H06","24P.-3",4,"24P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.91","H07","26P.-1",4,"26P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.92","H08","26P.-2",4,"26P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.93","H09","26P.-3",4,"26P.-3_4",96,"20221114_M2","M2","P","0"
"20221114_M2.94","H10","28P.-1",4,"28P.-1_4",96,"20221114_M2","M2","P","0"
"20221114_M2.95","H11","28P.-2",4,"28P.-2_4",96,"20221114_M2","M2","P","0"
"20221114_M2.96","H12","28P.-3",4,"28P.-3_4",96,"20221114_M2","M2","P","0"
"20221115_M4.1","A01","blank",1,"blank_1-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.2","A02","neg",1,"neg_1-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.3","A03","pos",1,"pos_1-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.4","A04","38P.-1",1,"38P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.5","A05","38P.-3",1,"38P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.6","A06","40P.-2",1,"40P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.7","A07","41P.-1",1,"41P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.8","A08","41P.-3",1,"41P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.9","A09","42P.-2",1,"42P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.10","A10","44P.-1",1,"44P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.11","A11","44P.-3",1,"44P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.12","A12","45P.-2",1,"45P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.13","B01","blank",2,"blank_2-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.14","B02","neg",2,"neg_2-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.15","B03","pos",2,"pos_2-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.16","B04","38P.-1",2,"38P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.17","B05","38P.-3",2,"38P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.18","B06","40P.-2",2,"40P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.19","B07","41P.-1",2,"41P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.20","B08","41P.-3",2,"41P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.21","B09","42P.-2",2,"42P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.22","B10","44P.-1",2,"44P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.23","B11","44P.-3",2,"44P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.24","B12","45P.-2",2,"45P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.25","C01","blank",3,"blank_3-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.26","C02","neg",3,"neg_3-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.27","C03","pos",3,"pos_3-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.28","C04","38P.-1",3,"38P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.29","C05","38P.-3",3,"38P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.30","C06","40P.-2",3,"40P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.31","C07","41P.-1",3,"41P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.32","C08","41P.-3",3,"41P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.33","C09","42P.-2",3,"42P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.34","C10","44P.-1",3,"44P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.35","C11","44P.-3",3,"44P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.36","C12","45P.-2",3,"45P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.37","D01","blank",4,"blank_4-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.38","D02","neg",4,"neg_4-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.39","D03","pos",4,"pos_4-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.40","D04","38P.-1",4,"38P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.41","D05","38P.-3",4,"38P.-3_4",96,"20221115_M4","M4","P","0"
"20221115_M4.42","D06","40P.-2",4,"40P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.43","D07","41P.-1",4,"41P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.44","D08","41P.-3",4,"41P.-3_4",96,"20221115_M4","M4","P","0"
"20221115_M4.45","D09","42P.-2",4,"42P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.46","D10","44P.-1",4,"44P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.47","D11","44P.-3",4,"44P.-3_4",96,"20221115_M4","M4","P","0"
"20221115_M4.48","D12","45P.-2",4,"45P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.49","E01","blank",5,"blank_5-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.50","E02","neg",5,"neg_5-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.51","E03","pos",5,"pos_5-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.52","E04","38P.-2",1,"38P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.53","E05","40P.-1",1,"40P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.54","E06","40P.-3",1,"40P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.55","E07","41P.-2",1,"41P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.56","E08","42P.-1",1,"42P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.57","E09","42P.-3",1,"42P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.58","E10","44P.-2",1,"44P.-2_1",96,"20221115_M4","M4","P","0"
"20221115_M4.59","E11","45P.-1",1,"45P.-1_1",96,"20221115_M4","M4","P","0"
"20221115_M4.60","E12","45P.-3",1,"45P.-3_1",96,"20221115_M4","M4","P","0"
"20221115_M4.61","F01","blank",6,"blank_6-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.62","F02","neg",6,"neg_6-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.63","F03","pos",6,"pos_6-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.64","F04","38P.-2",2,"38P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.65","F05","40P.-1",2,"40P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.66","F06","40P.-3",2,"40P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.67","F07","41P.-2",2,"41P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.68","F08","42P.-1",2,"42P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.69","F09","42P.-3",2,"42P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.70","F10","44P.-2",2,"44P.-2_2",96,"20221115_M4","M4","P","0"
"20221115_M4.71","F11","45P.-1",2,"45P.-1_2",96,"20221115_M4","M4","P","0"
"20221115_M4.72","F12","45P.-3",2,"45P.-3_2",96,"20221115_M4","M4","P","0"
"20221115_M4.73","G01","blank",7,"blank_7-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.74","G02","neg",7,"neg_7-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.75","G03","pos",7,"pos_7-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.76","G04","38P.-2",3,"38P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.77","G05","40P.-1",3,"40P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.78","G06","40P.-3",3,"40P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.79","G07","41P.-2",3,"41P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.80","G08","42P.-1",3,"42P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.81","G09","42P.-3",3,"42P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.82","G10","44P.-2",3,"44P.-2_3",96,"20221115_M4","M4","P","0"
"20221115_M4.83","G11","45P.-1",3,"45P.-1_3",96,"20221115_M4","M4","P","0"
"20221115_M4.84","G12","45P.-3",3,"45P.-3_3",96,"20221115_M4","M4","P","0"
"20221115_M4.85","H01","blank",8,"blank_8-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.86","H02","neg",8,"neg_8-20221110_M2",96,"20221115_M4","M4","P","0"
"20221115_M4.87","H03","pos",8,"pos_8-20221110_M2",96,"20221115_M4","M4","P","2"
"20221115_M4.88","H04","38P.-2",4,"38P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.89","H05","40P.-1",4,"40P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.90","H06","40P.-3",4,"40P.-3_4",96,"20221115_M4","M4","P","0"
"20221115_M4.91","H07","41P.-2",4,"41P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.92","H08","42P.-1",4,"42P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.93","H09","42P.-3",4,"42P.-3_4",96,"20221115_M4","M4","P","0"
"20221115_M4.94","H10","44P.-2",4,"44P.-2_4",96,"20221115_M4","M4","P","0"
"20221115_M4.95","H11","45P.-1",4,"45P.-1_4",96,"20221115_M4","M4","P","0"
"20221115_M4.96","H12","45P.-3",4,"45P.-3_4",96,"20221115_M4","M4","P","0"
"20221118_M7.1","A01","blank",1,"blank_1-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.2","A02","neg",1,"neg_1-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.3","A03","pos",1,"pos_1-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.4","A04","29P.-1",1,"29P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.5","A05","29P.-2",1,"29P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.6","A06","29P.-3",1,"29P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.7","A07","30P.-1",1,"30P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.8","A08","30P.-2",1,"30P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.9","A09","30P.-3",1,"30P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.10","A10","32P.-1",1,"32P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.11","A11","32P.-2",1,"32P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.12","A12","32P.-3",1,"32P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.13","B01","blank",2,"blank_2-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.14","B02","neg",2,"neg_2-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.15","B03","pos",2,"pos_2-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.16","B04","29P.-1",2,"29P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.17","B05","29P.-2",2,"29P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.18","B06","29P.-3",2,"29P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.19","B07","30P.-1",2,"30P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.20","B08","30P.-2",2,"30P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.21","B09","30P.-3",2,"30P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.22","B10","32P.-1",2,"32P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.23","B11","32P.-2",2,"32P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.24","B12","32P.-3",2,"32P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.25","C01","blank",3,"blank_3-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.26","C02","neg",3,"neg_3-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.27","C03","pos",3,"pos_3-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.28","C04","29P.-1",3,"29P.-1_3",96,"20221118_M7","M7","P","0"
"20221118_M7.29","C05","29P.-2",3,"29P.-2_3",96,"20221118_M7","M7","P","0"
"20221118_M7.30","C06","29P.-3",3,"29P.-3_3",96,"20221118_M7","M7","P","0"
"20221118_M7.31","C07","30P.-1",3,"30P.-1_3",96,"20221118_M7","M7","P","0"
"20221118_M7.32","C08","30P.-2",3,"30P.-2_3",96,"20221118_M7","M7","P","0"
"20221118_M7.33","C09","30P.-3",3,"30P.-3_3",96,"20221118_M7","M7","P","0"
"20221118_M7.34","C10","32P.-1",3,"32P.-1_3",96,"20221118_M7","M7","P","0"
"20221118_M7.35","C11","32P.-2",3,"32P.-2_3",96,"20221118_M7","M7","P","0"
"20221118_M7.36","C12","32P.-3",3,"32P.-3_3",96,"20221118_M7","M7","P","0"
"20221118_M7.37","D01","blank",4,"blank_4-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.38","D02","neg",4,"neg_4-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.39","D03","pos",4,"pos_4-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.40","D04","29P.-1",4,"29P.-1_4",96,"20221118_M7","M7","P","0"
"20221118_M7.41","D05","29P.-2",4,"29P.-2_4",96,"20221118_M7","M7","P","0"
"20221118_M7.42","D06","29P.-3",4,"29P.-3_4",96,"20221118_M7","M7","P","0"
"20221118_M7.43","D07","30P.-1",4,"30P.-1_4",96,"20221118_M7","M7","P","0"
"20221118_M7.44","D08","30P.-2",4,"30P.-2_4",96,"20221118_M7","M7","P","0"
"20221118_M7.45","D09","30P.-3",4,"30P.-3_4",96,"20221118_M7","M7","P","0"
"20221118_M7.46","D10","32P.-1",4,"32P.-1_4",96,"20221118_M7","M7","P","0"
"20221118_M7.47","D11","32P.-2",4,"32P.-2_4",96,"20221118_M7","M7","P","0"
"20221118_M7.48","D12","32P.-3",4,"32P.-3_4",96,"20221118_M7","M7","P","0"
"20221118_M7.49","E01","blank",5,"blank_5-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.50","E02","neg",5,"neg_5-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.51","E03","pos",5,"pos_5-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.52","E04","33P.-1",1,"33P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.53","E05","33P.-2",1,"33P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.54","E06","33P.-3",1,"33P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.55","E07","34P.-1",1,"34P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.56","E08","34P.-2",1,"34P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.57","E09","34P.-3",1,"34P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.58","E10","36P.-1",1,"36P.-1_1",96,"20221118_M7","M7","P","0"
"20221118_M7.59","E11","36P.-2",1,"36P.-2_1",96,"20221118_M7","M7","P","0"
"20221118_M7.60","E12","36P.-3",1,"36P.-3_1",96,"20221118_M7","M7","P","0"
"20221118_M7.61","F01","blank",6,"blank_6-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.62","F02","neg",6,"neg_6-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.63","F03","pos",6,"pos_6-20221110_M3",96,"20221118_M7","M7","P","2"
"20221118_M7.64","F04","33P.-1",2,"33P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.65","F05","33P.-2",2,"33P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.66","F06","33P.-3",2,"33P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.67","F07","34P.-1",2,"34P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.68","F08","34P.-2",2,"34P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.69","F09","34P.-3",2,"34P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.70","F10","36P.-1",2,"36P.-1_2",96,"20221118_M7","M7","P","0"
"20221118_M7.71","F11","36P.-2",2,"36P.-2_2",96,"20221118_M7","M7","P","0"
"20221118_M7.72","F12","36P.-3",2,"36P.-3_2",96,"20221118_M7","M7","P","0"
"20221118_M7.73","G01","blank",7,"blank_7-20221110_M3",96,"20221118_M7","M7","P","0"
"20221118_M7.74","G02","neg",7,"neg_7-20221110_M3",96,"20221118_M7","M7","P","0"
