,well,content,replicate,content_replicate,format,XTH,plate_name,identity,tissue,species
pos_1,A01,pos,1,pos_1,96,1,20201104_r1,2,blood,WTD
SDS_1,A02,SDS,1,SDS_1,96,0,20201104_r1,0,blood,WTD
166_1,A03,166,1,166_1,96,0,20201104_r1,0,blood,WTD
197_1,A04,197,1,197_1,96,1,20201104_r1,2,blood,WTD
333_1,A05,333,1,333_1,96,0,20201104_r1,0,blood,WTD
360_1,A06,360,1,360_1,96,1,20201104_r1,2,blood,WTD
363_1,A07,363,1,363_1,96,1,20201104_r1,2,blood,WTD
376_1,A08,376,1,376_1,96,1,20201104_r1,2,blood,WTD
384_1,A09,384,1,384_1,96,1,20201104_r1,2,blood,WTD
508_1,A10,508,1,508_1,96,0,20201104_r1,0,blood,WTD
735_1,A11,735,1,735_1,96,0,20201104_r1,0,blood,WTD
431_1,A12,431,1,431_1,96,0,20201104_r1,0,blood,WTD
pos_2,B01,pos,2,pos_2,96,1,20201104_r1,2,blood,WTD
SDS_2,B02,SDS,2,SDS_2,96,0,20201104_r1,0,blood,WTD
166_2,B03,166,2,166_2,96,0,20201104_r1,0,blood,WTD
197_2,B04,197,2,197_2,96,1,20201104_r1,2,blood,WTD
333_2,B05,333,2,333_2,96,0,20201104_r1,0,blood,WTD
360_2,B06,360,2,360_2,96,1,20201104_r1,2,blood,WTD
363_2,B07,363,2,363_2,96,1,20201104_r1,2,blood,WTD
376_2,B08,376,2,376_2,96,1,20201104_r1,2,blood,WTD
384_2,B09,384,2,384_2,96,1,20201104_r1,2,blood,WTD
508_2,B10,508,2,508_2,96,0,20201104_r1,0,blood,WTD
735_2,B11,735,2,735_2,96,0,20201104_r1,0,blood,WTD
431_2,B12,431,2,431_2,96,0,20201104_r1,0,blood,WTD
pos_3,C01,pos,3,pos_3,96,1,20201104_r1,2,blood,WTD
SDS_3,C02,SDS,3,SDS_3,96,1,20201104_r1,1,blood,WTD
166_3,C03,166,3,166_3,96,0,20201104_r1,0,blood,WTD
197_3,C04,197,3,197_3,96,1,20201104_r1,2,blood,WTD
333_3,C05,333,3,333_3,96,0,20201104_r1,0,blood,WTD
360_3,C06,360,3,360_3,96,1,20201104_r1,2,blood,WTD
363_3,C07,363,3,363_3,96,1,20201104_r1,2,blood,WTD
376_3,C08,376,3,376_3,96,1,20201104_r1,2,blood,WTD
384_3,C09,384,3,384_3,96,1,20201104_r1,2,blood,WTD
508_3,C10,508,3,508_3,96,0,20201104_r1,0,blood,WTD
735_3,C11,735,3,735_3,96,0,20201104_r1,0,blood,WTD
431_3,C12,431,3,431_3,96,0,20201104_r1,0,blood,WTD
pos_4,D01,pos,4,pos_4,96,1,20201104_r1,2,blood,WTD
SDS_4,D02,SDS,4,SDS_4,96,0,20201104_r1,0,blood,WTD
166_4,D03,166,4,166_4,96,0,20201104_r1,0,blood,WTD
197_4,D04,197,4,197_4,96,1,20201104_r1,2,blood,WTD
333_4,D05,333,4,333_4,96,0,20201104_r1,0,blood,WTD
360_4,D06,360,4,360_4,96,1,20201104_r1,2,blood,WTD
363_4,D07,363,4,363_4,96,1,20201104_r1,2,blood,WTD
376_4,D08,376,4,376_4,96,1,20201104_r1,2,blood,WTD
384_4,D09,384,4,384_4,96,1,20201104_r1,2,blood,WTD
508_4,D10,508,4,508_4,96,0,20201104_r1,0,blood,WTD
735_4,D11,735,4,735_4,96,0,20201104_r1,0,blood,WTD
431_4,D12,431,4,431_4,96,0,20201104_r1,0,blood,WTD
neg_1,E01,neg,1,neg_1,96,0,20201104_r1,0,blood,WTD
blank_1,E02,blank,1,blank_1,96,0,20201104_r1,0,blood,WTD
 67_1,E03,67,1, 67_1,96,0,20201104_r1,0,blood,WTD
193_1,E04,193,1,193_1,96,0,20201104_r1,0,blood,WTD
219_1,E05,219,1,219_1,96,0,20201104_r1,0,blood,WTD
230_1,E06,230,1,230_1,96,0,20201104_r1,0,blood,WTD
283_1,E07,283,1,283_1,96,0,20201104_r1,0,blood,WTD
346_1,E08,346,1,346_1,96,0,20201104_r1,0,blood,WTD
380_1,E09,380,1,380_1,96,0,20201104_r1,0,blood,WTD
394_1,E10,394,1,394_1,96,1,20201104_r1,1,blood,WTD
411_1,E11,411,1,411_1,96,0,20201104_r1,0,blood,WTD
415_1,E12,415,1,415_1,96,0,20201104_r1,0,blood,WTD
neg_2,F01,neg,2,neg_2,96,0,20201104_r1,0,blood,WTD
blank_2,F02,blank,2,blank_2,96,0,20201104_r1,0,blood,WTD
 67_2,F03,67,2, 67_2,96,0,20201104_r1,0,blood,WTD
193_2,F04,193,2,193_2,96,0,20201104_r1,0,blood,WTD
219_2,F05,219,2,219_2,96,0,20201104_r1,0,blood,WTD
230_2,F06,230,2,230_2,96,0,20201104_r1,0,blood,WTD
283_2,F07,283,2,283_2,96,0,20201104_r1,0,blood,WTD
346_2,F08,346,2,346_2,96,0,20201104_r1,0,blood,WTD
380_2,F09,380,2,380_2,96,0,20201104_r1,0,blood,WTD
394_2,F10,394,2,394_2,96,0,20201104_r1,0,blood,WTD
411_2,F11,411,2,411_2,96,0,20201104_r1,0,blood,WTD
415_2,F12,415,2,415_2,96,0,20201104_r1,0,blood,WTD
neg_3,G01,neg,3,neg_3,96,0,20201104_r1,0,blood,WTD
blank_3,G02,blank,3,blank_3,96,1,20201104_r1,1,blood,WTD
 67_3,G03,67,3, 67_3,96,0,20201104_r1,0,blood,WTD
193_3,G04,193,3,193_3,96,0,20201104_r1,0,blood,WTD
219_3,G05,219,3,219_3,96,0,20201104_r1,0,blood,WTD
230_3,G06,230,3,230_3,96,0,20201104_r1,0,blood,WTD
283_3,G07,283,3,283_3,96,0,20201104_r1,0,blood,WTD
346_3,G08,346,3,346_3,96,0,20201104_r1,0,blood,WTD
380_3,G09,380,3,380_3,96,0,20201104_r1,0,blood,WTD
394_3,G10,394,3,394_3,96,0,20201104_r1,0,blood,WTD
411_3,G11,411,3,411_3,96,0,20201104_r1,0,blood,WTD
415_3,G12,415,3,415_3,96,0,20201104_r1,0,blood,WTD
neg_4,H01,neg,4,neg_4,96,0,20201104_r1,0,blood,WTD
blank_4,H02,blank,4,blank_4,96,0,20201104_r1,0,blood,WTD
 67_4,H03,67,4, 67_4,96,0,20201104_r1,0,blood,WTD
193_4,H04,193,4,193_4,96,0,20201104_r1,0,blood,WTD
219_4,H05,219,4,219_4,96,0,20201104_r1,0,blood,WTD
230_4,H06,230,4,230_4,96,0,20201104_r1,0,blood,WTD
283_4,H07,283,4,283_4,96,0,20201104_r1,0,blood,WTD
346_4,H08,346,4,346_4,96,0,20201104_r1,0,blood,WTD
380_4,H09,380,4,380_4,96,0,20201104_r1,0,blood,WTD
394_4,H10,394,4,394_4,96,0,20201104_r1,0,blood,WTD
411_4,H11,411,4,411_4,96,0,20201104_r1,0,blood,WTD
415_4,H12,415,4,415_4,96,0,20201104_r1,0,blood,WTD
735_11,A01,735,1,735_1,96,0,20201106_r2,0,blood,WTD
508_11,A02,508,1,508_1,96,0,20201106_r2,0,blood,WTD
333_11,A03,333,1,333_1,96,1,20201106_r2,2,blood,WTD
514_1,A04,514,1,514_1,96,0,20201106_r2,0,blood,WTD
431_11,A05,431,1,431_1,96,0,20201106_r2,0,blood,WTD
394_11,A06,394,1,394_1,96,1,20201106_r2,1,blood,WTD
391_1,A07,391,1,391_1,96,0,20201106_r2,0,blood,WTD
390_1,A08,390,1,390_1,96,0,20201106_r2,0,blood,WTD
376_11,A09,376,1,376_1,96,1,20201106_r2,2,blood,WTD
358_1,A10,358,1,358_1,96,0,20201106_r2,0,blood,WTD
SDS_11,A11,SDS,1,SDS_1,96,1,20201106_r2,1,blood,WTD
neg_11,A12,neg,1,neg_1,96,0,20201106_r2,0,blood,WTD
735_21,B01,735,2,735_2,96,0,20201106_r2,0,blood,WTD
508_21,B02,508,2,508_2,96,0,20201106_r2,0,blood,WTD
333_21,B03,333,2,333_2,96,1,20201106_r2,2,blood,WTD
514_2,B04,514,2,514_2,96,0,20201106_r2,0,blood,WTD
431_21,B05,431,2,431_2,96,0,20201106_r2,0,blood,WTD
394_21,B06,394,2,394_2,96,1,20201106_r2,1,blood,WTD
391_2,B07,391,2,391_2,96,0,20201106_r2,0,blood,WTD
390_2,B08,390,2,390_2,96,0,20201106_r2,0,blood,WTD
376_21,B09,376,2,376_2,96,1,20201106_r2,2,blood,WTD
358_2,B10,358,2,358_2,96,0,20201106_r2,0,blood,WTD
SDS_21,B11,SDS,2,SDS_2,96,0,20201106_r2,0,blood,WTD
neg_21,B12,neg,2,neg_2,96,0,20201106_r2,0,blood,WTD
735_31,C01,735,3,735_3,96,0,20201106_r2,0,blood,WTD
508_31,C02,508,3,508_3,96,0,20201106_r2,0,blood,WTD
333_31,C03,333,3,333_3,96,1,20201106_r2,2,blood,WTD
514_3,C04,514,3,514_3,96,0,20201106_r2,0,blood,WTD
431_31,C05,431,3,431_3,96,0,20201106_r2,0,blood,WTD
394_31,C06,394,3,394_3,96,0,20201106_r2,0,blood,WTD
391_3,C07,391,3,391_3,96,0,20201106_r2,0,blood,WTD
390_3,C08,390,3,390_3,96,0,20201106_r2,0,blood,WTD
376_31,C09,376,3,376_3,96,1,20201106_r2,2,blood,WTD
358_3,C10,358,3,358_3,96,0,20201106_r2,0,blood,WTD
SDS_31,C11,SDS,3,SDS_3,96,1,20201106_r2,1,blood,WTD
neg_31,C12,neg,3,neg_3,96,0,20201106_r2,0,blood,WTD
735_41,D01,735,4,735_4,96,0,20201106_r2,0,blood,WTD
508_41,D02,508,4,508_4,96,0,20201106_r2,0,blood,WTD
333_41,D03,333,4,333_4,96,1,20201106_r2,2,blood,WTD
514_4,D04,514,4,514_4,96,0,20201106_r2,0,blood,WTD
431_41,D05,431,4,431_4,96,0,20201106_r2,0,blood,WTD
394_41,D06,394,4,394_4,96,1,20201106_r2,1,blood,WTD
391_4,D07,391,4,391_4,96,0,20201106_r2,0,blood,WTD
390_4,D08,390,4,390_4,96,0,20201106_r2,0,blood,WTD
376_41,D09,376,4,376_4,96,0,20201106_r2,0,blood,WTD
358_4,D10,358,4,358_4,96,0,20201106_r2,0,blood,WTD
SDS_41,D11,SDS,4,SDS_4,96,0,20201106_r2,0,blood,WTD
neg_41,D12,neg,4,neg_4,96,0,20201106_r2,0,blood,WTD
355_1,E01,355,1,355_1,96,0,20201106_r2,0,blood,WTD
350_1,E02,350,1,350_1,96,0,20201106_r2,0,blood,WTD
269_1,E03,269,1,269_1,96,0,20201106_r2,0,blood,WTD
232_1,E04,232,1,232_1,96,1,20201106_r2,1,blood,WTD
193_11,E05,193,1,193_1,96,0,20201106_r2,0,blood,WTD
188_1,E06,188,1,188_1,96,0,20201106_r2,0,blood,WTD
118_1,E07,118,1,118_1,96,0,20201106_r2,0,blood,WTD
355_2,F01,355,2,355_2,96,0,20201106_r2,0,blood,WTD
350_2,F02,350,2,350_2,96,0,20201106_r2,0,blood,WTD
269_2,F03,269,2,269_2,96,0,20201106_r2,0,blood,WTD
232_2,F04,232,2,232_2,96,1,20201106_r2,1,blood,WTD
193_21,F05,193,2,193_2,96,1,20201106_r2,1,blood,WTD
188_2,F06,188,2,188_2,96,1,20201106_r2,1,blood,WTD
118_2,F07,118,2,118_2,96,0,20201106_r2,0,blood,WTD
355_3,G01,355,3,355_3,96,0,20201106_r2,0,blood,WTD
350_3,G02,350,3,350_3,96,0,20201106_r2,0,blood,WTD
269_3,G03,269,3,269_3,96,0,20201106_r2,0,blood,WTD
232_3,G04,232,3,232_3,96,0,20201106_r2,0,blood,WTD
193_31,G05,193,3,193_3,96,0,20201106_r2,0,blood,WTD
188_3,G06,188,3,188_3,96,0,20201106_r2,0,blood,WTD
118_3,G07,118,3,118_3,96,1,20201106_r2,1,blood,WTD
355_4,H01,355,4,355_4,96,1,20201106_r2,1,blood,WTD
350_4,H02,350,4,350_4,96,0,20201106_r2,0,blood,WTD
269_4,H03,269,4,269_4,96,0,20201106_r2,0,blood,WTD
232_4,H04,232,4,232_4,96,1,20201106_r2,1,blood,WTD
193_41,H05,193,4,193_4,96,0,20201106_r2,0,blood,WTD
188_4,H06,188,4,188_4,96,0,20201106_r2,0,blood,WTD
118_4,H07,118,4,118_4,96,1,20201106_r2,1,blood,WTD
